algorithm,hierarchy_method,space_id,embeddings,reduction,reduction_dim,umap_seed,precision,recall,f1-score,f0.5-score,level_macro_f1,level_upper_macro_f1,level_lower_macro_f1,level_weighted_f1,level_f1_depth_1,level_f1_depth_2,level_f1_depth_3,level_f1_depth_4,level_f1_depth_5,level_f1_depth_6,lca_similarity_spearman,tree_distance_spearman,dendrogram_purity,ari,silhouette,calinski_harabasz,davies_bouldin,dbcv,twonn_raw,twonn_pca,twonn_umap,twonn_space,n_pred_clusters,n_noise,n_hierarchy_topics,min_cluster_size,davies_bouldin_inv,embedding_family
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_15__seed_2,tfidf_svd,umap,15,2,0.6360851464928128,0.8146061764410019,0.7143613267466478,0.6652427503491334,0.5818355365500395,0.42417987373161714,0.6606633679592507,0.5121085971086974,0.34176323419167787,0.5065965132715564,0.7177932706880873,0.6962469560234923,0.6571846736968514,0.5714285714285715,0.13873087514873153,0.1318179446767411,0.677333243821756,0.7055224541526524,0.7537492513656616,2306.60541056675,0.35106773783736744,0.46577012497196885,5.8840467871612985,4.828226358463545,2.8947054496959543,2.8947054496959543,26,108,26,12,-0.35106773783736744,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_15__seed_3,tfidf_svd,umap,15,3,0.7215005904260151,0.799014183683734,0.7582816229116944,0.7357763491857643,0.5928630718528141,0.4238789426927069,0.6773551364328676,0.513381513158257,0.33547006177289307,0.5122878236125207,0.739767206123947,0.7176067357126892,0.6806180324662626,0.5714285714285715,0.1079836220637715,0.109930003806131,0.6931768707908748,0.7512957769076022,0.7534849047660828,2694.6708535559083,0.3364005504017413,0.3184171440201948,5.8840467871612985,4.828226358463545,3.0837970276292537,3.0837970276292537,27,137,27,12,-0.3364005504017413,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_15__seed_4,tfidf_svd,umap,15,4,0.6563587792439084,0.8156121114575998,0.7273705929846594,0.683032028709585,0.5717479080819651,0.41919717898346204,0.6480232726312166,0.5068334534580835,0.32945296393572254,0.5089413940312015,0.6985554826001312,0.678980936116823,0.6431281003793405,0.5714285714285715,0.1316590369905188,0.1321348169494772,0.6743952640458228,0.7190493838511676,0.7458416223526001,2445.7258510310103,0.36173215514895857,0.29275283756281056,5.8840467871612985,4.828226358463545,2.954701879157689,2.954701879157689,25,129,25,12,-0.36173215514895857,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_15__seed_42,tfidf_svd,umap,15,42,0.736570147216535,0.7599839050397345,0.7480938706802653,0.7411367694088563,0.5808509907675677,0.4188183005274212,0.6618673358876411,0.5084098789711041,0.32705574585176145,0.5105808552030809,0.7168968885168132,0.6995278985911305,0.6596159850140493,0.5714285714285715,0.11597033857917836,0.0921239921912986,0.6833833156068325,0.7410651797391953,0.7682878375053406,2977.34422565134,0.33095316814170783,0.4236002802326761,5.8840467871612985,4.828226358463545,2.9342649513722465,2.9342649513722465,27,156,27,12,-0.33095316814170783,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_30__seed_0,tfidf_svd,umap,30,0,0.5649468680089486,0.8128960869127855,0.6666116725097959,0.6016498652411513,0.6415043877627006,0.43752113814359006,0.7434960125722558,0.721827618983107,0.3333123825087279,0.5417298937784522,0.6859469950049315,0.6644417475728155,0.6235953077112762,1.0,0.10514196144115247,0.07680344104131127,0.6551901250178908,0.6557555621794869,0.7265980839729309,1916.3813895765618,0.39445708338106716,0.47393495294862564,5.8840467871612985,4.828226358463545,2.8658004041751375,2.8658004041751375,24,100,24,12,-0.39445708338106716,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_30__seed_1,tfidf_svd,umap,30,1,0.7248912255257433,0.8044462327733628,0.7625995327325609,0.7395180232665667,0.5951126626743523,0.4360357031285888,0.674651142447234,0.5209393801593861,0.36482099904252585,0.5072504072146518,0.7313804595684968,0.7170319395616725,0.6787635992301951,0.5714285714285715,0.15332568266141786,0.12321895512823182,0.6924441914048095,0.7557314868345079,0.7652125358581543,2850.834982115767,0.33453828664062396,0.3616652016446829,5.8840467871612985,4.828226358463545,2.8081529680209627,2.8081529680209627,27,132,27,12,-0.33453828664062396,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_30__seed_2,tfidf_svd,umap,30,2,0.6905903898142496,0.796599939643899,0.7398168908819133,0.7094733824293573,0.5857493280188057,0.41747141750755257,0.6698882832744323,0.507753233799348,0.31841781140792863,0.5165250236071766,0.7317255181303212,0.7080176084289528,0.6683814351098838,0.5714285714285715,0.10065555434100297,0.07090846622401976,0.6954723247929998,0.7321478535662022,0.7539137005805969,2578.2988283786226,0.3613566401684741,0.4619935311624984,5.8840467871612985,4.828226358463545,2.7950197428246417,2.7950197428246417,26,128,26,12,-0.3613566401684741,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_30__seed_3,tfidf_svd,umap,30,3,0.7152529621967275,0.7651141736243838,0.739343863912515,0.724698439316272,0.5813328393584153,0.4182914759680504,0.6628535210535977,0.5079227360077789,0.32409502589774014,0.5124879260383607,0.721536536705779,0.6998489534632814,0.658600022616759,0.5714285714285715,0.14118809535681479,0.09896488886525744,0.6823582313250183,0.7319382044476519,0.7522541880607605,2670.8722518410245,0.37715558693214263,0.37195137304732273,5.8840467871612985,4.828226358463545,2.791760398111897,2.791760398111897,26,155,26,12,-0.37715558693214263,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_30__seed_4,tfidf_svd,umap,30,4,0.30642797319932996,0.8833115380746404,0.4550094566935253,0.3524665837113154,0.5246466692914277,0.40507658946648084,0.5844317092039011,0.6954506443287598,0.35576804804612083,0.4543851308868408,0.4794669340351756,0.44808814279827364,0.41017175998215477,1.0,0.14017901366519187,0.20201848970480357,0.5891714074401563,0.43248731991114553,0.5884506106376648,445.162973871994,0.5648368771828931,0.3167024679071707,5.8840467871612985,4.828226358463545,2.8038656036893235,2.8038656036893235,22,82,22,12,-0.5648368771828931,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_30__seed_42,tfidf_svd,umap,30,42,0.6172059383326989,0.81551151795594,0.7026347720575489,0.6487572221955474,0.5767148274130692,0.4152967858889771,0.6574238481751153,0.5066380889044192,0.32499986008271914,0.505593711695235,0.7123828647925032,0.6905701988403941,0.6553137576389924,0.5714285714285715,0.14191401821435337,0.12446428381053597,0.6831507310898047,0.6933032890622118,0.7487722039222717,2258.431991750134,0.34812082983318055,0.4057679432784877,5.8840467871612985,4.828226358463545,2.872769299323962,2.872769299323962,26,107,26,12,-0.34812082983318055,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_50__seed_0,tfidf_svd,umap,50,0,0.6415911460421846,0.8047480132783422,0.71396697902722,0.6687062206396175,0.5734477287742622,0.4225903069308866,0.64887643969595,0.5094202016565198,0.33884699023735715,0.5063336236244161,0.6994953659421485,0.6797422247128048,0.644839596700275,0.5714285714285715,0.1386806524025348,0.13319457153123354,0.684586202887393,0.7051991826489107,0.7511086463928223,2207.1303097368823,0.3719497836276575,0.543700773960818,5.8840467871612985,4.828226358463545,2.63823598025902,2.63823598025902,25,118,25,12,-0.3719497836276575,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_50__seed_1,tfidf_svd,umap,50,1,0.5958458275433336,0.8195352580223317,0.6900143982383332,0.6302508006745781,0.6435142424262585,0.4157434739776768,0.7573996266505494,0.7183248410286177,0.32700233897838693,0.5044846089769667,0.7029611554441733,0.6818165902167442,0.6448207609412799,1.0,0.130470007037282,0.1307118859728611,0.6824447568283767,0.6801137923318517,0.7306172251701355,2092.5877119301913,0.3794101260399983,0.33663904960983027,5.8840467871612985,4.828226358463545,3.0020451103355565,3.0020451103355565,26,93,26,12,-0.3794101260399983,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_50__seed_2,tfidf_svd,umap,50,2,0.6771614192903548,0.8178251684941152,0.7408757461156422,0.7012852583455533,0.6567348367152103,0.42192177426918853,0.7741413679382211,0.7230555500828562,0.33177061979714434,0.5120729287412327,0.7278038952316991,0.7085281833434476,0.6602333931777379,1.0,0.11573388724036258,0.13047652983156469,0.685539286485298,0.7330704046525537,0.7455187439918518,2354.186351485607,0.3662181557840884,0.3940857161657726,5.8840467871612985,4.828226358463545,2.9558881048491497,2.9558881048491497,26,124,26,12,-0.3662181557840884,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_50__seed_3,tfidf_svd,umap,50,3,0.6354939009806266,0.8018308017302083,0.709037537804661,0.6630013474622793,0.5777112375011658,0.4146025610019628,0.6592655757507674,0.5082049447129554,0.3326590501153879,0.49654607188853767,0.7128374918933679,0.6930621140573919,0.6597341256237382,0.5714285714285715,0.11706815304810232,0.1310970641216789,0.6767090311252566,0.7000945167039913,0.7463866472244263,2357.6994042346346,0.3672652847356393,0.3055492604115957,5.8840467871612985,4.828226358463545,2.7335617267865153,2.7335617267865153,27,109,27,12,-0.3672652847356393,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_50__seed_4,tfidf_svd,umap,50,4,0.3983693859277063,0.8503168695302283,0.5425545571245187,0.4457533986521405,0.4970216245938425,0.4168794099950025,0.5370927318932626,0.4937883207974744,0.3514188448312484,0.48233997515875654,0.5604599779049915,0.5275741572738498,0.4889082209656372,0.5714285714285715,0.14392021593017396,0.10558023640128342,0.6384115051203677,0.5252746298981749,0.6350834965705872,718.7804555893312,0.5273759200143365,0.3318094586826179,5.8840467871612985,4.828226358463545,2.8390260134183216,2.8390260134183216,23,96,23,12,-0.5273759200143365,tfidf
hdbscan,agglomerative_medoid_average_cosine,tfidf_svd__umap_50__seed_42,tfidf_svd,umap,50,42,0.6321122369446609,0.8158132984609194,0.7123095164902726,0.6619219405494523,0.5847808075177651,0.42757022967327796,0.6633860964400087,0.5151358459070758,0.35209323723355307,0.5030472221130028,0.7193981293208622,0.6993259075015321,0.6633917775090689,0.5714285714285715,0.14106010739462646,0.14888304153507675,0.6816721632826006,0.703375991508673,0.7670543789863586,2702.561868576947,0.3222878131858049,0.42162063679875816,5.8840467871612985,4.828226358463545,2.797951899154075,2.797951899154075,26,113,26,12,-0.3222878131858049,tfidf
hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v5_text_small_matching__raw_1024,jina_embeddings_v5_text_small_matching,raw,1024,raw,0.25613289549932394,0.1333869832008852,0.17542002910437887,0.21632027146073285,0.241465358185462,0.31739020183109745,0.20350293636264422,0.44186311925587624,0.45189165040325424,0.1828887532589407,0.090081017300726,0.08062069461204695,0.07188146210923246,0.5714285714285715,0.21254999549316506,0.22429253964986942,0.235768962022238,0.16004514783094292,0.21704506874084473,27.53693498121367,1.6488392244367795,0.0017581090594134025,12.321332694079228,,,8.34827170292659,4,699,4,12,-1.6488392244367795,jina
