selection_criterion,selection_metric,selection_direction,algorithm,space_id,embeddings,reduction,reduction_dim,umap_seed,precision,recall,f1-score,f0.5-score,h_precision,h_recall,h_f1-score,lca_similarity_spearman,tree_distance_spearman,dendrogram_purity,ari,silhouette,calinski_harabasz,davies_bouldin,dbcv,twonn_raw,twonn_pca,twonn_umap,twonn_space,n_pred_clusters,n_noise,min_cluster_size,davies_bouldin_inv,embedding_family
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_30__seed_3,jina_embeddings_v3,umap,30,3,0.7239665313561429,0.8790866110049291,0.7940214428493549,0.7504508372692142,0.6705176114423154,0.777779894837915,0.7201767800512477,0.37504909587442625,0.3757000031260742,0.8227823398014562,0.7878013278916247,0.7661252021789551,10532.928202464578,0.33298197442454275,0.5677849958678243,9.319099453017616,6.850094695454759,3.1019832231171507,3.1019832231171507,35,50,6,-0.33298197442454275,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_30__seed_4,jina_embeddings_v3,umap,30,4,0.8231434225601499,0.7949904436173423,0.8088220243577934,0.8173544316889026,0.6743293118363481,0.8154251669891242,0.7381955879647107,0.3916771732317695,0.37019541851172105,0.8649091720774366,0.8036659997717229,0.7548733353614807,9677.370651332316,0.3651216966703086,0.5631049188387721,9.319099453017616,6.850094695454759,3.237802978119329,3.237802978119329,51,33,3,-0.3651216966703086,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_30__seed_42,jina_embeddings_v3,umap,30,42,0.7402954311233253,0.8671159843074138,0.7987028028723651,0.7626024028168514,0.6765187887120594,0.7642338746288015,0.7177062216324103,0.37894225429196393,0.391411474782049,0.803895205503356,0.7927260277207157,0.8005600571632385,9442.421292937348,0.27238357600859187,0.6057484448076373,9.319099453017616,6.850094695454759,3.0467819751107057,3.0467819751107057,32,76,8,-0.27238357600859187,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_50__seed_0,jina_embeddings_v3,umap,50,0,0.8183190739808757,0.8178251684941152,0.8180720466894746,0.8182202451641472,0.6674605176401524,0.7973546138473514,0.7266483146728159,0.38529695411951437,0.3532563837743151,0.8339483691227539,0.8130777789637714,0.7641183733940125,10149.349931482167,0.3495414076982623,0.6254567025375258,9.319099453017616,6.850094695454759,3.1203174233776343,3.1203174233776343,46,63,4,-0.3495414076982623,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_50__seed_1,jina_embeddings_v3,umap,50,1,0.7882751937984496,0.8183281360024143,0.803020581412566,0.7941078854376136,0.6707817136432501,0.8193989372212438,0.7376794524178852,0.37182698563614214,0.3345182393581176,0.8480583906887093,0.7975074300434223,0.7350658178329468,10137.00669602307,0.39968014915113115,0.5551283528785825,9.319099453017616,6.850094695454759,2.99446198467982,2.99446198467982,47,27,3,-0.39968014915113115,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_50__seed_2,jina_embeddings_v3,umap,50,2,0.8049418604651163,0.8356302182878986,0.8199990128818914,0.8108978739189006,0.6897945229666633,0.787814967646519,0.735553545434002,0.39914914301514265,0.4066411389980297,0.8297885273370738,0.814961061730985,0.7736903429031372,11148.283838036916,0.3255832071237138,0.5029226029499234,9.319099453017616,6.850094695454759,2.9066736627330854,2.9066736627330854,39,66,6,-0.3255832071237138,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_50__seed_3,jina_embeddings_v3,umap,50,3,0.8302373026951573,0.7777889548335177,0.8031577853952425,0.8191892865467336,0.6735124889449898,0.8166213490468814,0.7381950040989281,0.3620686147961404,0.3462264671494444,0.8679423612079054,0.7979334004152463,0.7518935799598694,10261.449845910132,0.3756279908739797,0.5606054375474976,9.319099453017616,6.850094695454759,3.0293742712799197,3.0293742712799197,53,46,3,-0.3756279908739797,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_50__seed_4,jina_embeddings_v3,umap,50,4,0.7886101306877802,0.8316064782215069,0.8095377986682335,0.7968499990361073,0.6763708169976715,0.8151189766445026,0.7392912650606001,0.38559598410327056,0.36557575682720506,0.8603720388984589,0.8041649168961541,0.744693398475647,9270.952339494079,0.3642598938117012,0.5798665830409868,9.319099453017616,6.850094695454759,2.9063410968254706,2.9063410968254706,50,22,3,-0.3642598938117012,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_50__seed_42,jina_embeddings_v3,umap,50,42,0.8264854955246415,0.7709485967206519,0.7977516394295825,0.8147470924669914,0.6776521808301713,0.8135798224094174,0.7394210152913231,0.4041940539701777,0.3825287246630097,0.8573850993351861,0.7923960143834166,0.7176446914672852,9729.034577410825,0.4246660785165739,0.4835930172823316,9.319099453017616,6.850094695454759,3.0968436007090925,3.0968436007090925,53,30,3,-0.4246660785165739,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_5__seed_0,jina_embeddings_v3,umap,5,0,0.8009446029715636,0.8188311035107132,0.8097890966971747,0.8044591148973178,0.6780147600054554,0.7879196619595262,0.7288472833470708,0.3907833535399335,0.39719526404903077,0.8343867090753158,0.8045065460036235,0.780301570892334,12119.601698184702,0.312564038461591,0.4935802996710515,9.319099453017616,6.850094695454759,2.7632039975121954,2.7632039975121954,40,64,6,-0.312564038461591,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_5__seed_1,jina_embeddings_v3,umap,5,1,0.8247740563530037,0.7803037923750126,0.8019228781143388,0.8154790689850928,0.6863914884079807,0.7919451485267707,0.7354000376556472,0.3866952691593941,0.36442049537058596,0.8465919805435803,0.796638319215149,0.769688069820404,12717.272826689701,0.35374033939601346,0.4712187805978978,9.319099453017616,6.850094695454759,2.8437843902775177,2.8437843902775177,45,57,5,-0.35374033939601346,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_5__seed_2,jina_embeddings_v3,umap,5,2,0.8158886330332845,0.7841263454380847,0.7996922287766095,0.8093319766596755,0.6795057579054868,0.8019482121923303,0.7356670389033001,0.38609395033898253,0.3413852044665908,0.8529889489520373,0.7943038239163305,0.760040819644928,9719.315509033002,0.329369597081387,0.5531949114037746,9.319099453017616,6.850094695454759,2.782166160296428,2.782166160296428,50,57,4,-0.329369597081387,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_5__seed_3,jina_embeddings_v3,umap,5,3,0.8578844157342254,0.7481138718438789,0.799247716281569,0.8334267207566622,0.690390349115857,0.8173114663215634,0.7485086809508559,0.4044098174846032,0.37620971238920664,0.853707991356807,0.7941213946480165,0.7636236548423767,15156.80609955142,0.3476603876730152,0.5052774144361719,9.319099453017616,6.850094695454759,2.889051266409261,2.889051266409261,52,54,4,-0.3476603876730152,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_5__seed_4,jina_embeddings_v3,umap,5,4,0.792856441958591,0.8127954934111257,0.8027021657063382,0.7967656049699241,0.6846813959560264,0.7883358952193605,0.7328616228127743,0.39814857271864734,0.400736779041861,0.8381149925286449,0.7972151345995142,0.7602413296699524,13483.951202329474,0.3307535533516178,0.4668387863103092,9.319099453017616,6.850094695454759,2.8868128082892994,2.8868128082892994,40,61,6,-0.3307535533516178,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v3__umap_5__seed_42,jina_embeddings_v3,umap,5,42,0.8098995695839312,0.7949904436173423,0.8023757551144728,0.8068731750148042,0.6814472025708113,0.7884580287042682,0.7310573587644721,0.4183285335741696,0.3523991399610019,0.8260183471315592,0.7970006967486037,0.7910955548286438,12517.247281028978,0.3214791144418223,0.5186636264530842,9.319099453017616,6.850094695454759,2.6280889000158276,2.6280889000158276,41,75,6,-0.3214791144418223,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v5_text_small_matching__raw_1024,jina_embeddings_v5_text_small_matching,raw,1024,raw,0.7752115252686943,0.3410119706266975,0.4736621489450887,0.617868989902672,0.4718864708785284,0.535228913571634,0.5015657332557919,0.029047160859189458,0.04977046706768853,0.36730781286315567,0.4649242761967981,0.1972806751728058,10.399684946537997,1.4176670366326405,0.036719574096512685,12.321332694079228,,,8.34827170292659,55,410,2,-1.4176670366326405,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v5_text_small_matching__umap_10__seed_0,jina_embeddings_v5_text_small_matching,umap,10,0,0.8263341645885287,0.8333165677497234,0.8298106781528599,0.827721268559781,0.6223094449890563,0.7822745540443977,0.6931829550833944,0.2633487221024627,0.1894327355368567,0.8375648363623189,0.8251170043729711,0.720020055770874,4749.926147116447,0.36812588063758334,0.485736701315479,12.321332694079228,8.34827170292659,2.9009362929651537,2.9009362929651537,46,60,4,-0.36812588063758334,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v5_text_small_matching__umap_10__seed_1,jina_embeddings_v5_text_small_matching,umap,10,1,0.8794687327061428,0.7993159641887134,0.8374789207419899,0.8621774701069856,0.6227793509973955,0.7992858120906546,0.7000786071354215,0.2624260458987677,0.24825400552011348,0.8406020136532372,0.8332346677663355,0.7176133990287781,6332.480352424284,0.39923574973691867,0.46807209460433863,12.321332694079228,8.34827170292659,3.2501748863986886,3.2501748863986886,47,77,4,-0.39923574973691867,jina
best_by_f1,f1-score,max,hdbscan,jina_embeddings_v5_text_small_matching__umap_10__seed_2,jina_embeddings_v5_text_small_matching,umap,10,2,0.8694437697352441,0.7201488783824564,0.7877854195323246,0.8348298621638641,0.633597752778337,0.8090837590868643,0.7106678048492038,0.2809655313060484,0.21915609488948679,0.8447674360922786,0.7825188220979001,0.6975789070129395,6015.473886654418,0.4475476108339398,0.5214040017285778,12.321332694079228,8.34827170292659,3.0353582256951737,3.0353582256951737,57,70,3,-0.4475476108339398,jina
