selection_criterion,selection_metric,selection_direction,algorithm,hierarchy_method,space_id,embeddings,reduction,reduction_dim,umap_seed,precision,recall,f1-score,f0.5-score,level_macro_f1,level_upper_macro_f1,level_lower_macro_f1,level_weighted_f1,level_f1_depth_1,level_f1_depth_2,level_f1_depth_3,level_f1_depth_4,level_f1_depth_5,level_f1_depth_6,lca_similarity_spearman,tree_distance_spearman,dendrogram_purity,ari,silhouette,calinski_harabasz,davies_bouldin,dbcv,twonn_raw,twonn_pca,twonn_umap,twonn_space,n_pred_clusters,n_noise,n_hierarchy_topics,min_cluster_size,davies_bouldin_inv,embedding_family
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_30__seed_0,jina_embeddings_v3,umap,30,0,0.6538958570885595,0.8653053012775375,0.7448908901974367,0.687489010725532,0.6123531217307672,0.5036383304190122,0.6667105173866447,0.543638145689407,0.4187938950356708,0.5884827658023535,0.7273142112125164,0.7025905302113237,0.665508756694167,0.5714285714285715,0.20489802206523836,0.22757319442616084,0.6982898415508,0.7368800158561786,0.8138450980186462,8721.702664371593,0.27280807387590933,0.4825777510327848,9.319099453017616,6.850094695454759,3.148718856700967,3.148718856700967,24,109,24,13,-0.27280807387590933,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_30__seed_1,jina_embeddings_v3,umap,30,1,0.6575789793438639,0.8710391308721457,0.7494049937253885,0.69146982256081,0.6116224518156087,0.5011344833404108,0.6668664360532076,0.5431270010427626,0.4185640281519615,0.5837049385288602,0.7284945359647692,0.7038216560509554,0.6637209807685343,0.5714285714285715,0.19239543234320325,0.2142821523808707,0.6953884144488335,0.7415324198308874,0.8063228130340576,7719.389632696759,0.2905225998700857,0.45633334677564874,9.319099453017616,6.850094695454759,2.9809886548261852,2.9809886548261852,24,109,24,13,-0.2905225998700857,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_30__seed_2,jina_embeddings_v3,umap,30,2,0.6616370568670399,0.8204405995372699,0.7325309861684929,0.6882816587621732,0.5787217726021715,0.4666342775787412,0.6347655201138868,0.5242560575763588,0.3815179129519361,0.5517506422055463,0.680725143284326,0.6644032040083067,0.6225051617343427,0.5714285714285715,0.14575592711826255,0.15667716003266477,0.6678977903635779,0.7243751874627377,0.8225433230400085,9353.878355785428,0.26225607627141,0.5117273163660707,9.319099453017616,6.850094695454759,3.0667009433682475,3.0667009433682475,22,152,22,15,-0.26225607627141,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_30__seed_3,jina_embeddings_v3,umap,30,3,0.6783484233531064,0.8742581229252591,0.7639432162791719,0.7101766657405744,0.6204911352366066,0.47774481334570096,0.6918642961820595,0.5348425818692808,0.38035492303943635,0.5751347036519656,0.7530603630223723,0.7280297063125915,0.7149385439647022,0.5714285714285715,0.18343885815795904,0.24668104806447763,0.7292504210773363,0.7566176822629782,0.8208460807800293,10809.607331045123,0.26104458471665376,0.5289914336716705,9.319099453017616,6.850094695454759,3.1019832231171507,3.1019832231171507,29,73,29,10,-0.26104458471665376,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_30__seed_4,jina_embeddings_v3,umap,30,4,0.6820057618936386,0.8810984810381249,0.768872893258427,0.7142857142857143,0.6363196665982394,0.5012614485222755,0.7038487756362214,0.547601429124077,0.4125878381857933,0.5899350588587577,0.7744695532171814,0.7547211404217798,0.7147758374773525,0.5714285714285715,0.16454651690908134,0.2278309903491244,0.7366583600135463,0.7616925341906,0.8139706254005432,8488.295194805076,0.2693755758133081,0.5011971936733022,9.319099453017616,6.850094695454759,3.237802978119329,3.237802978119329,28,75,28,11,-0.2693755758133081,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_30__seed_42,jina_embeddings_v3,umap,30,42,0.6929410824206571,0.8719444723870838,0.7722048997772829,0.722610333961352,0.6290906273712229,0.49726143343587603,0.6950052243388963,0.545389417075741,0.41223121955289393,0.5822916473188581,0.7638607920452597,0.740929994890138,0.703801538991616,0.5714285714285715,0.16539653267021676,0.22797674710127383,0.7309384472938724,0.7652120523902084,0.8190920948982239,8428.452772514509,0.25583872949300945,0.5176454337908357,9.319099453017616,6.850094695454759,3.0467819751107057,3.0467819751107057,28,87,28,10,-0.25583872949300945,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_50__seed_0,jina_embeddings_v3,umap,50,0,0.6489571035025581,0.8293934211849915,0.7281639141570255,0.6784779710669673,0.5711408810529057,0.45607464946150933,0.6286739968486039,0.5138213510353491,0.34225876964713225,0.5698905292758863,0.6784591679506934,0.6523482058468859,0.612460042168265,0.5714285714285715,0.14371938673189555,0.23747549260385634,0.6416007734154945,0.7197599264536465,0.8144297003746033,6367.586521128451,0.2760919482086968,0.5386476096563172,9.319099453017616,6.850094695454759,3.1203174233776343,3.1203174233776343,21,159,21,17,-0.2760919482086968,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_50__seed_1,jina_embeddings_v3,umap,50,1,0.706376123452603,0.8380444623277337,0.7665976535541753,0.7292925048584483,0.6174962349981176,0.44775345991743665,0.702367622538458,0.525074700086064,0.35251099435046857,0.5429959254844048,0.7555490332758558,0.7599058454295803,0.722587040019824,0.5714285714285715,0.14128080136830679,0.11334417207298449,0.7341527524310766,0.7596255837754877,0.7918798327445984,10844.617650148293,0.3123164047801143,0.5296310905657984,9.319099453017616,6.850094695454759,2.99446198467982,2.99446198467982,30,79,30,9,-0.3123164047801143,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_50__seed_2,jina_embeddings_v3,umap,50,2,0.679570566570018,0.872346846393723,0.7639855519337504,0.7109945068459458,0.6096751151821539,0.47987294778644435,0.6745761988800087,0.5395092876143646,0.4162837781619503,0.5434621174109384,0.731590181430096,0.7165184108870539,0.6787676317743133,0.5714285714285715,0.16779187292370845,0.24995227960290223,0.7114556601229775,0.756674493952002,0.8143643736839294,9521.315641898158,0.2638251013561557,0.4709207436766631,9.319099453017616,6.850094695454759,2.9066736627330854,2.9066736627330854,26,99,26,12,-0.2638251013561557,jina
best_by_silhouette,silhouette,max,hdbscan,agglomerative_medoid_average_cosine,jina_embeddings_v3__umap_50__seed_3,jina_embeddings_v3,umap,50,3,0.6492946422045172,0.8935720752439392,0.7520955041910085,0.6868475991649269,0.6259532586172287,0.4873490260588029,0.6952553748964416,0.5449935560313851,0.42047778353672904,0.5542202685808768,0.7649378016450276,0.7414934008316759,0.7031617256804914,0.5714285714285715,0.17196985370150866,0.2664618639418377,0.7310674051674378,0.7441756899973332,0.8187249898910522,7866.599815147795,0.26430435651795386,0.5802744929959622,9.319099453017616,6.850094695454759,3.0293742712799197,3.0293742712799197,27,64,27,10,-0.26430435651795386,jina
