selection_criterion,twonn_metric,external_metric,spearman_corr
best_by_f0.5,twonn_pca,level_f1_depth_6,
best_by_f0.5,twonn_umap,level_f1_depth_6,
best_by_f0.5,twonn_space,level_f1_depth_6,
best_by_level_macro_f1,twonn_pca,level_f1_depth_1,0.6537212899084859
best_by_level_macro_f1,twonn_raw,level_f1_depth_1,0.6480347293809174
best_by_level_macro_f1,twonn_pca,f1-score,0.6469116931386059
best_by_level_macro_f1,twonn_raw,f1-score,0.6122235747671345
best_by_level_macro_f1,twonn_pca,lca_similarity_spearman,0.5573393048578758
best_by_level_macro_f1,twonn_pca,level_f1_depth_5,0.5526249686325742
best_by_level_macro_f1,twonn_pca,dendrogram_purity,0.5426724810458264
best_by_level_macro_f1,twonn_pca,recall,0.5358695008064945
best_by_level_macro_f1,twonn_raw,level_f1_depth_5,0.5234315338754268
best_by_level_macro_f1,twonn_raw,dendrogram_purity,0.5180353324952678
best_by_level_macro_f1,twonn_raw,lca_similarity_spearman,0.5033184196402886
best_by_level_macro_f1,twonn_raw,recall,0.5023429135438144
best_by_level_macro_f1,twonn_umap,level_f1_depth_4,0.4909001111248301
best_by_level_macro_f1,twonn_pca,f0.5-score,0.4829575555253398
best_by_level_macro_f1,twonn_pca,level_f1_depth_4,0.47667177389160437
best_by_level_macro_f1,twonn_raw,f0.5-score,0.457695989789853
best_by_level_macro_f1,twonn_raw,level_f1_depth_4,0.45180922464786133
best_by_level_macro_f1,twonn_umap,dendrogram_purity,0.45003909947730175
best_by_level_macro_f1,twonn_umap,level_f1_depth_3,0.4486562127011566
best_by_level_macro_f1,twonn_umap,level_f1_depth_5,0.4471580853603326
best_by_level_macro_f1,twonn_umap,f1-score,0.4425484627731818
best_by_level_macro_f1,twonn_pca,precision,0.39286135210846507
best_by_level_macro_f1,twonn_space,level_f1_depth_4,0.39243830384052986
best_by_level_macro_f1,twonn_raw,precision,0.38509255303862233
best_by_level_macro_f1,twonn_pca,level_f1_depth_3,0.3844803099301512
best_by_level_macro_f1,twonn_umap,lca_similarity_spearman,0.37705889616001975
best_by_level_macro_f1,twonn_space,level_f1_depth_3,0.36465638148667595
best_by_level_macro_f1,twonn_raw,level_f1_depth_3,0.36056436494699035
best_by_level_macro_f1,twonn_umap,recall,0.3604110846603661
best_by_level_macro_f1,twonn_space,level_f1_depth_5,0.3533914237116171
best_by_level_macro_f1,twonn_space,dendrogram_purity,0.34915400913132993
best_by_level_macro_f1,twonn_space,lca_similarity_spearman,0.33617319686073227
best_by_level_macro_f1,twonn_umap,f0.5-score,0.3333497962711445
best_by_level_macro_f1,twonn_pca,level_upper_macro_f1,0.322670123865086
best_by_level_macro_f1,twonn_space,f1-score,0.32004416460266777
best_by_level_macro_f1,twonn_raw,level_upper_macro_f1,0.3026778410507388
best_by_level_macro_f1,twonn_space,precision,0.288755930888365
best_by_level_macro_f1,twonn_space,f0.5-score,0.2671510847184506
best_by_level_macro_f1,twonn_umap,precision,0.26214759023747786
best_by_level_macro_f1,twonn_space,recall,0.23299326707540877
best_by_level_macro_f1,twonn_umap,level_f1_depth_1,0.2305552125776845
best_by_level_macro_f1,twonn_space,level_f1_depth_1,0.2190176360001193
best_by_level_macro_f1,twonn_umap,level_upper_macro_f1,0.20319380993538294
best_by_level_macro_f1,twonn_space,level_upper_macro_f1,0.14064038673868282
best_by_level_macro_f1,twonn_umap,level_f1_depth_2,0.08622463678643454
best_by_level_macro_f1,twonn_space,level_f1_depth_2,0.03242218972874578
best_by_level_macro_f1,twonn_pca,level_f1_depth_2,-0.025666941671086387
best_by_level_macro_f1,twonn_raw,level_f1_depth_2,-0.02845269818629312
best_by_level_macro_f1,twonn_umap,level_macro_f1,-0.10785693707042021
best_by_level_macro_f1,twonn_umap,level_lower_macro_f1,-0.1596164135489978
best_by_level_macro_f1,twonn_space,level_macro_f1,-0.16108143594640564
best_by_level_macro_f1,twonn_space,level_lower_macro_f1,-0.20552952761779714
best_by_level_macro_f1,twonn_raw,level_macro_f1,-0.32524377409504024
best_by_level_macro_f1,twonn_space,level_weighted_f1,-0.3272805944316791
best_by_level_macro_f1,twonn_umap,level_weighted_f1,-0.3281475079227888
best_by_level_macro_f1,twonn_pca,level_macro_f1,-0.3383845779494246
best_by_level_macro_f1,twonn_pca,level_weighted_f1,-0.36195625907593254
best_by_level_macro_f1,twonn_raw,level_weighted_f1,-0.3895076268951161
best_by_level_macro_f1,twonn_raw,level_lower_macro_f1,-0.4140358149867481
best_by_level_macro_f1,twonn_pca,level_lower_macro_f1,-0.42900459650244394
best_by_level_macro_f1,twonn_space,level_f1_depth_6,-0.42917547943374956
best_by_level_macro_f1,twonn_umap,level_f1_depth_6,-0.4752836572861715
best_by_level_macro_f1,twonn_pca,level_f1_depth_6,-0.6546536707079771
best_by_level_macro_f1,twonn_raw,level_f1_depth_6,-0.6614378277661477
best_by_level_upper_macro_f1,twonn_pca,level_upper_macro_f1,0.6091970033361932
best_by_level_upper_macro_f1,twonn_raw,level_upper_macro_f1,0.5827897490571762
best_by_level_upper_macro_f1,twonn_pca,recall,0.4811301431972289
best_by_level_upper_macro_f1,twonn_pca,level_f1_depth_2,0.4761479587554597
best_by_level_upper_macro_f1,twonn_raw,lca_similarity_spearman,0.4596582448371836
best_by_level_upper_macro_f1,twonn_pca,lca_similarity_spearman,0.4551953533096749
best_by_level_upper_macro_f1,twonn_raw,level_f1_depth_1,0.45279035217152663
best_by_level_upper_macro_f1,twonn_raw,recall,0.45205956526428226
best_by_level_upper_macro_f1,twonn_raw,level_f1_depth_2,0.45131866088602873
best_by_level_upper_macro_f1,twonn_pca,level_f1_depth_1,0.44681431113136094
best_by_level_upper_macro_f1,twonn_umap,level_upper_macro_f1,0.43665473103675345
best_by_level_upper_macro_f1,twonn_umap,recall,0.43137545431268237
best_by_level_upper_macro_f1,twonn_space,level_upper_macro_f1,0.32844439139387066
best_by_level_upper_macro_f1,twonn_space,recall,0.2997855158066737
best_by_level_upper_macro_f1,twonn_umap,level_f1_depth_2,0.2899205663250607
best_by_level_upper_macro_f1,twonn_umap,level_f1_depth_1,0.28753344034242906
best_by_level_upper_macro_f1,twonn_space,level_f1_depth_1,0.22829817074990297
best_by_level_upper_macro_f1,twonn_space,level_f1_depth_2,0.20227686431321057
best_by_level_upper_macro_f1,twonn_umap,lca_similarity_spearman,0.19920977898505987
best_by_level_upper_macro_f1,twonn_space,lca_similarity_spearman,0.18696845811822982
best_by_level_upper_macro_f1,twonn_pca,level_weighted_f1,0.15504928029880757
best_by_level_upper_macro_f1,twonn_umap,level_weighted_f1,0.12911058978474707
best_by_level_upper_macro_f1,twonn_space,level_weighted_f1,0.11469368267136162
best_by_level_upper_macro_f1,twonn_raw,level_weighted_f1,0.10105613493752383
best_by_level_upper_macro_f1,twonn_raw,f1-score,0.03728284589928064
best_by_level_upper_macro_f1,twonn_pca,f1-score,0.03614324439397879
